County,Population
Alameda,"1,666,756"
Alpine,"1,089"
Amador,"39,405"
Butte,"230,339"
Calaveras,"45,698"
Colusa,"21,418"
Contra Costa,"1,150,519"
Del Norte,"27,740"
El Dorado,"190,746"
Fresno,"991,950"
Glenn,"27,967"
Humboldt,"136,244"
Imperial,"181,523"
Inyo,"17,946"
Kern,"893,758"
Kings,"151,382"
Lake,"64,317"
Lassen,"30,618"
Los Angeles,"10,073,906"
Madera,"156,882"
Marin,"259,662"
Mariposa,"17,405"
Mendocino,"87,401"
Merced,"274,151"
Modoc,"8,800"
Mono,"14,403"
Monterey,"433,950"
Napa,"138,789"
Nevada,"99,508"
Orange,"3,175,973"
Placer,"392,330"
Plumas,"18,741"
Riverside,"2,445,789"
Sacramento,"1,538,746"
San Benito,"61,467"
San Bernardino,"2,166,753"
San Diego,"3,333,861"
San Francisco,"880,696"
San Joaquin,"752,491"
San Luis Obispo,"283,354"
San Mateo,"768,681"
Santa Barbara,"445,780"
Santa Clara,"1,932,337"
Santa Cruz,"273,841"
Shasta,"179,709"
Sierra,"2,997"
Siskiyou,"43,550"
Solano,"445,725"
Sonoma,"498,643"
Stanislaus,"548,126"
Sutter,"96,348"
Tehama,"64,018"
Trinity,"12,567"
Tulare,"464,589"
Tuolumne,"54,387"
Ventura,"848,142"
Yolo,"220,118"
Yuba,"77,557"
