County,Mean,2.5%,97.5%,Population
Alameda,369.38,39.1,708.15,1666756
Butte,167.65,30.48,325.1,230339
Colusa,13.42,-158.48,107.15,21418
Contra Costa,207.98,-33.05,518.67,1150519
Fresno,351.88,90.1,615.1,991950
Glenn,-52.05,-262.02,38.97,27967
Kings,32.65,-111.32,198.05,151382
Lake,103.08,-65.57,203.02,64317
Marin,235.82,88.8,415.65,259662
Mendocino,29.98,-174.88,140.95,87401
Merced,177.3,37.92,343.75,274151
Napa,81.28,-41.15,192.35,138789
Placer,68.75,-56.72,194.55,392330
Sacramento,201.6,-107.3,484.1,1538746
San Francisco,175.4,26.4,345.0,880696
San Joaquin,354.75,105.52,515.35,752491
San Mateo,150.6,-54.35,328.72,768681
Santa Clara,440.18,217.1,729.7,1932337
Santa Cruz,115.58,-55.52,277.3,273841
Solano,37.6,-79.2,172.52,445725
Sonoma,251.35,91.58,439.5,498643
Stanislaus,322.38,164.18,529.17,548126
Sutter,-18.27,-170.18,70.2,96348
Tehama,37.33,-126.4,158.02,64018
Tulare,76.65,-163.05,265.25,464589
Yolo,87.02,-31.05,211.97,220118
Yuba,-46.7,-214.35,28.37,77557
